location,date,total_cases,total_deaths,total_cases_per_million,total_vaccinations,stringency_index
New Zealand,9/16/2020,1809,25,375.137,,34.72
New Zealand,9/17/2020,1809,25,375.137,,34.72
New Zealand,9/18/2020,1811,25,375.552,,34.72
New Zealand,9/19/2020,1815,25,376.382,,34.72
New Zealand,9/20/2020,1815,25,376.382,,34.72
New Zealand,9/21/2020,1815,25,376.382,,34.72
New Zealand,9/22/2020,1824,25,378.248,,34.72
New Zealand,9/23/2020,1827,25,378.87,,31.94
New Zealand,9/24/2020,1829,25,379.285,,31.94
New Zealand,9/25/2020,1831,25,379.7,,31.94
New Zealand,9/26/2020,1833,25,380.114,,31.94
New Zealand,9/27/2020,1833,25,380.114,,31.94
New Zealand,9/28/2020,1835,25,380.529,,31.94
New Zealand,9/29/2020,1836,25,380.736,,31.94
New Zealand,9/30/2020,1848,25,383.225,,31.94
New Zealand,10/1/2020,1848,25,383.225,,31.94
New Zealand,10/2/2020,1849,25,383.432,,31.94
New Zealand,10/3/2020,1854,25,384.469,,31.94
New Zealand,10/4/2020,1855,25,384.677,,31.94
New Zealand,10/5/2020,1858,25,385.299,,31.94
New Zealand,10/6/2020,1861,25,385.921,,31.94
New Zealand,10/7/2020,1864,25,386.543,,22.22
New Zealand,10/8/2020,1866,25,386.958,,22.22
New Zealand,10/9/2020,1870,25,387.787,,22.22
New Zealand,10/10/2020,1871,25,387.995,,22.22
New Zealand,10/11/2020,1871,25,387.995,,22.22
New Zealand,10/12/2020,1872,25,388.202,,22.22
New Zealand,10/13/2020,1874,25,388.617,,22.22
New Zealand,10/14/2020,1876,25,389.031,,22.22
New Zealand,10/15/2020,1880,25,389.861,,22.22
New Zealand,10/16/2020,1883,25,390.483,,22.22
New Zealand,10/17/2020,1886,25,391.105,,22.22
New Zealand,10/18/2020,1886,25,391.105,,22.22
New Zealand,10/19/2020,1887,25,391.312,,22.22
New Zealand,10/20/2020,1912,25,396.497,,22.22
New Zealand,10/21/2020,1914,25,396.912,,22.22
New Zealand,10/22/2020,1923,25,398.778,,22.22
New Zealand,10/23/2020,1934,25,401.059,,22.22
New Zealand,10/24/2020,1935,25,401.266,,22.22
New Zealand,10/25/2020,1940,25,402.303,,22.22
New Zealand,10/26/2020,1941,25,402.511,,22.22
New Zealand,10/27/2020,1943,25,402.925,,22.22
New Zealand,10/28/2020,1949,25,404.17,,22.22
New Zealand,10/29/2020,1950,25,404.377,,22.22
New Zealand,10/30/2020,1957,25,405.829,,22.22
New Zealand,10/31/2020,1959,25,406.243,,22.22
New Zealand,11/1/2020,1963,25,407.073,,22.22
New Zealand,11/2/2020,1968,25,408.11,,22.22
New Zealand,11/3/2020,1971,25,408.732,,22.22
New Zealand,11/4/2020,1973,25,409.147,,22.22
New Zealand,11/5/2020,1974,25,409.354,,22.22
New Zealand,11/6/2020,1976,25,409.769,,22.22
New Zealand,11/7/2020,1982,25,411.013,,22.22
New Zealand,11/8/2020,1986,25,411.842,,22.22
New Zealand,11/9/2020,1987,25,412.05,,22.22
New Zealand,11/10/2020,1988,25,412.257,,22.22
New Zealand,11/11/2020,1991,25,412.879,,22.22
New Zealand,11/12/2020,1995,25,413.709,,22.22
New Zealand,11/13/2020,1998,25,414.331,,22.22
New Zealand,11/14/2020,2001,25,414.953,,22.22
New Zealand,11/15/2020,2001,25,414.953,,22.22
New Zealand,11/16/2020,2005,25,415.782,,22.22
New Zealand,11/17/2020,2008,25,416.405,,22.22
New Zealand,11/18/2020,2010,25,416.819,,22.22
New Zealand,11/19/2020,2013,25,417.441,,22.22
New Zealand,11/20/2020,2019,25,418.686,,22.22
New Zealand,11/21/2020,2028,25,420.552,,22.22
New Zealand,11/22/2020,2030,25,420.967,,22.22
New Zealand,11/23/2020,2031,25,421.174,,22.22
New Zealand,11/24/2020,2039,25,422.833,,22.22
New Zealand,11/25/2020,2040,25,423.041,,22.22
New Zealand,11/26/2020,2047,25,424.492,,22.22
New Zealand,11/27/2020,2050,25,425.114,,22.22
New Zealand,11/28/2020,2050,25,425.114,,22.22
New Zealand,11/29/2020,2056,25,426.358,,22.22
New Zealand,11/30/2020,2059,25,426.981,,22.22
New Zealand,12/1/2020,2060,25,427.188,,22.22
New Zealand,12/2/2020,2069,25,429.054,,22.22
New Zealand,12/3/2020,2069,25,429.054,,22.22
New Zealand,12/4/2020,2078,25,430.921,,22.22
New Zealand,12/5/2020,2078,25,430.921,,22.22
New Zealand,12/6/2020,2079,25,431.128,,22.22
New Zealand,12/7/2020,2085,25,432.372,,22.22
New Zealand,12/8/2020,2088,25,432.994,,22.22
New Zealand,12/9/2020,2088,25,432.994,,22.22
New Zealand,12/10/2020,2092,25,433.824,,22.22
New Zealand,12/11/2020,2092,25,433.824,,22.22
New Zealand,12/12/2020,2096,25,434.653,,22.22
New Zealand,12/13/2020,2096,25,434.653,,22.22
New Zealand,12/14/2020,2096,25,434.653,,22.22
New Zealand,12/15/2020,2100,25,435.483,,22.22
New Zealand,12/16/2020,2100,25,435.483,,22.22
New Zealand,12/17/2020,2110,25,437.557,,22.22
New Zealand,12/18/2020,2110,25,437.557,,22.22
New Zealand,12/19/2020,2116,25,438.801,,22.22
New Zealand,12/20/2020,2121,25,439.838,,22.22
New Zealand,12/21/2020,2121,25,439.838,,22.22
New Zealand,12/22/2020,2128,25,441.289,,22.22
New Zealand,12/23/2020,2128,25,441.289,,22.22
New Zealand,12/24/2020,2128,25,441.289,,22.22
New Zealand,12/25/2020,2128,25,441.289,,22.22
New Zealand,12/26/2020,2144,25,444.607,,22.22
New Zealand,12/27/2020,2144,25,444.607,,22.22
New Zealand,12/28/2020,2151,25,446.059,,22.22
New Zealand,12/29/2020,2151,25,446.059,,22.22
New Zealand,12/30/2020,2162,25,448.34,,22.22
New Zealand,12/31/2020,2162,25,448.34,,22.22
United States,1/22/2020,1,,0.003,,0
United States,1/23/2020,1,,0.003,,0
United States,1/24/2020,2,,0.006,,0
United States,1/25/2020,2,,0.006,,0
United States,1/26/2020,5,,0.015,,0
United States,1/27/2020,5,,0.015,,0
United States,1/28/2020,5,,0.015,,0
United States,1/29/2020,6,,0.018,,0
United States,1/30/2020,6,,0.018,,0
United States,1/31/2020,8,,0.024,,0
United States,2/1/2020,8,,0.024,,0
United States,2/2/2020,8,,0.024,,5.56
United States,2/3/2020,11,,0.033,,5.56
United States,2/4/2020,11,,0.033,,5.56
United States,2/5/2020,11,,0.033,,5.56
United States,2/6/2020,12,,0.036,,5.56
United States,2/7/2020,12,,0.036,,5.56
United States,2/8/2020,12,,0.036,,5.56
United States,2/9/2020,12,,0.036,,5.56
United States,2/10/2020,12,,0.036,,5.56
United States,2/11/2020,13,,0.039,,5.56
United States,2/12/2020,13,,0.039,,5.56
United States,2/13/2020,14,,0.042,,5.56
United States,2/14/2020,14,,0.042,,5.56
United States,2/15/2020,14,,0.042,,5.56
United States,2/16/2020,14,,0.042,,5.56
United States,2/17/2020,14,,0.042,,5.56
United States,2/18/2020,14,,0.042,,5.56
United States,2/19/2020,14,,0.042,,5.56
United States,2/20/2020,14,,0.042,,5.56
United States,2/21/2020,16,,0.048,,5.56
United States,2/22/2020,16,,0.048,,5.56
United States,2/23/2020,16,,0.048,,5.56
United States,2/24/2020,16,,0.048,,5.56
United States,2/25/2020,16,,0.048,,5.56
United States,2/26/2020,16,,0.048,,5.56
United States,2/27/2020,17,,0.051,,5.56
United States,2/28/2020,17,,0.051,,5.56
United States,2/29/2020,25,1,0.076,,5.56
United States,3/1/2020,32,1,0.097,,8.33
United States,3/2/2020,55,6,0.166,,11.11
United States,3/3/2020,74,7,0.224,,11.11
United States,3/4/2020,107,11,0.323,,11.11
United States,3/5/2020,184,12,0.556,,20.37
United States,3/6/2020,237,14,0.716,,20.37
United States,3/7/2020,403,17,1.218,,20.37
United States,3/8/2020,519,21,1.568,,20.37
United States,3/9/2020,594,22,1.795,,20.37
United States,3/10/2020,782,28,2.363,,20.37
United States,3/11/2020,1147,33,3.465,,21.76
United States,3/12/2020,1586,43,4.792,,30.09
United States,3/13/2020,2219,51,6.704,,30.09
United States,3/14/2020,2978,58,8.997,,35.65
United States,3/15/2020,3212,70,9.704,,41.2
United States,3/16/2020,4679,97,14.136,,52.31
United States,3/17/2020,6512,134,19.674,,55.09
United States,3/18/2020,9169,194,27.701,,55.09
United States,3/19/2020,13663,266,41.278,,67.13
United States,3/20/2020,20030,372,60.513,,67.13
United States,3/21/2020,26025,475,78.625,,72.69
United States,3/22/2020,34898,596,105.431,,72.69
United States,3/23/2020,46136,788,139.383,,72.69
United States,3/24/2020,56755,1031,171.464,,72.69
United States,3/25/2020,68837,1364,207.965,,72.69
United States,3/26/2020,86693,1783,261.91,,72.69
United States,3/27/2020,105383,2305,318.375,,72.69
United States,3/28/2020,125013,2947,377.68,,72.69
United States,3/29/2020,143912,3571,434.776,,72.69
United States,3/30/2020,165987,4284,501.467,,72.69
United States,3/31/2020,192301,5369,580.965,,72.69
United States,4/1/2020,224560,6652,678.424,,72.69
United States,4/2/2020,256792,8164,775.8,,72.69
United States,4/3/2020,289087,9595,873.368,,72.69
United States,4/4/2020,321477,11158,971.222,,72.69
United States,4/5/2020,351354,12773,1061.484,,72.69
United States,4/6/2020,382747,14544,1156.326,,72.69
United States,4/7/2020,413516,17119,1249.283,,72.69
United States,4/8/2020,444731,19279,1343.587,,72.69
United States,4/9/2020,480667,21482,1452.155,,72.69
United States,4/10/2020,515081,23676,1556.124,,72.69
United States,4/11/2020,544183,25803,1644.044,,72.69
United States,4/12/2020,571440,27677,1726.391,,72.69
United States,4/13/2020,598380,29686,1807.78,,72.69
United States,4/14/2020,627205,32120,1894.864,,72.69
United States,4/15/2020,652611,34732,1971.619,,72.69
United States,4/16/2020,682626,36875,2062.298,,72.69
United States,4/17/2020,715656,38985,2162.085,,72.69
United States,4/18/2020,743588,40958,2246.471,,72.69
United States,4/19/2020,769684,42929,2325.311,,72.69
United States,4/20/2020,799512,45158,2415.425,,72.69
United States,4/21/2020,825429,47672,2493.723,,72.69
United States,4/22/2020,854288,50132,2580.91,,72.69
United States,4/23/2020,887858,52588,2682.329,,72.69
United States,4/24/2020,920185,54776,2779.993,,72.69
United States,4/25/2020,950581,56487,2871.823,,72.69
United States,4/26/2020,977082,57886,2951.886,,72.69
United States,4/27/2020,1000785,59394,3023.495,,72.69
United States,4/28/2020,1025362,61618,3097.746,,72.69
United States,4/29/2020,1051800,64036,3177.618,,72.69
United States,4/30/2020,1081020,66231,3265.895,,72.69
United States,5/1/2020,1115946,68140,3371.411,,72.69
United States,5/2/2020,1143296,69871,3454.039,,72.69
United States,5/3/2020,1167593,71061,3527.443,,72.69
United States,5/4/2020,1191678,72440,3600.207,,72.69
United States,5/5/2020,1216209,74682,3674.318,,72.69
United States,5/6/2020,1240769,76996,3748.517,,72.69
United States,5/7/2020,1268180,78925,3831.329,,72.69
United States,5/8/2020,1295019,80688,3912.413,,72.69
United States,5/9/2020,1320155,82156,3988.352,,72.69
United States,5/10/2020,1339022,83134,4045.351,,72.69
United States,5/11/2020,1358293,84176,4103.571,,72.69
United States,5/12/2020,1381241,85775,4172.9,,72.69
United States,5/13/2020,1401649,87502,4234.555,,72.69
United States,5/14/2020,1428467,89298,4315.576,,72.69
United States,5/15/2020,1453214,90966,4390.34,,72.69
United States,5/16/2020,1477373,92164,4463.327,,72.69
United States,5/17/2020,1495736,92985,4518.804,,72.69
United States,5/18/2020,1518126,94212,4586.447,,72.69
United States,5/19/2020,1539133,95668,4649.911,,72.69
United States,5/20/2020,1561830,97169,4718.482,,72.69
United States,5/21/2020,1587596,98354,4796.324,,72.69
United States,5/22/2020,1611253,99571,4867.795,,72.69
United States,5/23/2020,1632364,100660,4931.574,,72.69
United States,5/24/2020,1652431,101299,4992.199,,72.69
United States,5/25/2020,1671104,101891,5048.612,,72.69
United States,5/26/2020,1690754,102568,5107.977,,72.69
United States,5/27/2020,1709303,104030,5164.016,,72.69
United States,5/28/2020,1731625,105131,5231.454,,72.69
United States,5/29/2020,1756098,106264,5305.39,,72.69
United States,5/30/2020,1779731,107218,5376.788,,72.69
United States,5/31/2020,1798718,107833,5434.15,,72.69
United States,6/1/2020,1816154,108609,5486.826,,72.69
United States,6/2/2020,1837656,109590,5551.786,,72.69
United States,6/3/2020,1857511,110600,5611.771,,72.69
United States,6/4/2020,1879150,111613,5677.145,,72.69
United States,6/5/2020,1904550,112504,5753.881,,72.69
United States,6/6/2020,1925710,113146,5817.808,,72.69
United States,6/7/2020,1943626,113605,5871.935,,72.69
United States,6/8/2020,1961263,114112,5925.218,,72.69
United States,6/9/2020,1979647,115025,5980.759,,72.69
United States,6/10/2020,2000757,115901,6044.535,,72.69
United States,6/11/2020,2023890,116731,6114.422,,72.69
United States,6/12/2020,2048756,117560,6189.546,,72.69
United States,6/13/2020,2073964,118295,6265.702,,72.69
United States,6/14/2020,2092912,118640,6322.946,,72.69
United States,6/15/2020,2112731,119036,6382.822,,68.98
United States,6/16/2020,2136401,119850,6454.332,,68.98
United States,6/17/2020,2163465,120589,6536.096,,68.98
United States,6/18/2020,2191991,121278,6622.276,,68.98
United States,6/19/2020,2223553,121907,6717.629,,68.98
United States,6/20/2020,2255823,122466,6815.121,,68.98
United States,6/21/2020,2280971,122783,6891.096,,68.98
United States,6/22/2020,2313123,123190,6988.231,,68.98
United States,6/23/2020,2350198,123938,7100.239,,68.98
United States,6/24/2020,2386074,124675,7208.625,,68.98
United States,6/25/2020,2426391,125212,7330.428,,68.98
United States,6/26/2020,2472385,125841,7469.381,,68.98
United States,6/27/2020,2513731,126344,7594.293,,68.98
United States,6/28/2020,2554461,126662,7717.343,,68.98
United States,6/29/2020,2595744,127047,7842.064,,68.98
United States,6/30/2020,2642174,127600,7982.335,,68.98
United States,7/1/2020,2693993,128304,8138.887,,68.98
United States,7/2/2020,2750622,129017,8309.97,,68.98
United States,7/3/2020,2801983,129687,8465.138,,68.98
United States,7/4/2020,2847664,130002,8603.146,,68.98
United States,7/5/2020,2898432,130328,8756.522,,68.98
United States,7/6/2020,2941517,130704,8886.687,,68.98
United States,7/7/2020,3002171,131866,9069.93,,68.98
United States,7/8/2020,3062290,132691,9251.557,,68.98
United States,7/9/2020,3124786,133711,9440.366,,68.98
United States,7/10/2020,3192841,134528,9645.968,,68.98
United States,7/11/2020,3252874,135256,9827.335,,68.98
United States,7/12/2020,3311312,135728,10003.884,,68.98
United States,7/13/2020,3370208,136173,10181.816,,68.98
United States,7/14/2020,3438244,137101,10387.361,,68.98
United States,7/15/2020,3506364,138076,10593.16,,68.98
United States,7/16/2020,3582184,139032,10822.222,,68.98
United States,7/17/2020,3654445,139956,11040.531,,68.98
United States,7/18/2020,3716980,140813,11229.457,,68.98
United States,7/19/2020,3777456,141293,11412.163,,68.98
United States,7/20/2020,3839546,141856,11599.744,,67.13
United States,7/21/2020,3904066,142947,11794.667,,67.13
United States,7/22/2020,3974630,144171,12007.85,,67.13
United States,7/23/2020,4043070,145241,12214.615,,67.13
United States,7/24/2020,4116393,146348,12436.133,,67.13
United States,7/25/2020,4181308,147278,12632.249,,67.13
United States,7/26/2020,4236083,147809,12797.731,,67.13
United States,7/27/2020,4292934,148935,12969.485,,67.13
United States,7/28/2020,4359391,150265,13170.26,,67.13
United States,7/29/2020,4431244,151679,13387.337,,67.13
United States,7/30/2020,4498701,152910,13591.133,,67.13
United States,7/31/2020,4567420,154147,13798.742,,67.13
United States,8/1/2020,4623604,155240,13968.48,,67.13
United States,8/2/2020,4669149,155677,14106.078,,67.13
United States,8/3/2020,4714678,156258,14243.626,,67.13
United States,8/4/2020,4773479,157540,14421.271,,67.13
United States,8/5/2020,4827936,158978,14585.793,,67.13
United States,8/6/2020,4887293,160222,14765.118,,67.13
United States,8/7/2020,4946590,161459,14944.261,,67.13
United States,8/8/2020,5000709,162537,15107.761,,67.13
United States,8/9/2020,5046463,163060,15245.99,,67.13
United States,8/10/2020,5094087,163696,15389.868,,67.13
United States,8/11/2020,5142088,164716,15534.885,,67.13
United States,8/12/2020,5198137,166215,15704.216,,67.13
United States,8/13/2020,5249451,167282,15859.242,,67.13
United States,8/14/2020,5314791,168618,16056.642,,67.13
United States,8/15/2020,5361712,169618,16198.396,,67.13
United States,8/16/2020,5400904,170235,16316.8,,67.13
United States,8/17/2020,5437580,170727,16427.603,,67.13
United States,8/18/2020,5482614,171953,16563.656,,67.13
United States,8/19/2020,5529973,173292,16706.733,,67.13
United States,8/20/2020,5574013,174395,16839.784,,67.13
United States,8/21/2020,5622842,175486,16987.302,,67.13
United States,8/22/2020,5665887,176395,17117.346,,67.13
United States,8/23/2020,5700119,176940,17220.766,,67.13
United States,8/24/2020,5736641,177413,17331.103,,67.13
United States,8/25/2020,5777001,178649,17453.036,,67.13
United States,8/26/2020,5822167,179815,17589.488,,67.13
United States,8/27/2020,5867547,180929,17726.586,,67.13
United States,8/28/2020,5914395,181906,17868.12,,67.13
United States,8/29/2020,5957126,182807,17997.216,,67.13
United States,8/30/2020,5991507,183260,18101.085,,67.13
United States,8/31/2020,6026895,183802,18207.996,,67.13
United States,9/1/2020,6068759,184832,18334.473,,67.13
United States,9/2/2020,6109773,185911,18458.381,,67.13
United States,9/3/2020,6153983,186948,18591.945,,67.13
United States,9/4/2020,6204376,187906,18744.188,,67.13
United States,9/5/2020,6247464,188668,18874.363,,67.13
United States,9/6/2020,6278633,189137,18968.528,,67.13
United States,9/7/2020,6302200,189432,19039.727,,67.13
United States,9/8/2020,6329593,189885,19122.485,,67.13
United States,9/9/2020,6363650,191045,19225.375,,67.13
United States,9/10/2020,6399723,191961,19334.356,,67.13
United States,9/11/2020,6447501,193135,19478.699,,67.13
United States,9/12/2020,6488563,193837,19602.753,,62.5
United States,9/13/2020,6522914,194272,19706.531,,62.5
United States,9/14/2020,6557342,194703,19810.542,,62.5
United States,9/15/2020,6596849,195903,19929.898,,62.5
United States,9/16/2020,6635867,196859,20047.776,,62.5
United States,9/17/2020,6681004,197720,20184.141,,62.5
United States,9/18/2020,6730288,198616,20333.034,,62.5
United States,9/19/2020,6772447,199348,20460.401,,62.5
United States,9/20/2020,6810862,199613,20576.458,,62.5
United States,9/21/2020,6862834,200040,20733.472,,62.5
United States,9/22/2020,6902696,201072,20853.9,,62.5
United States,9/23/2020,6941758,202128,20971.911,,62.5
United States,9/24/2020,6988869,203025,21114.239,,62.5
United States,9/25/2020,7037151,203969,21260.105,,62.5
United States,9/26/2020,7081803,204737,21395.004,,62.5
United States,9/27/2020,7119311,205052,21508.32,,62.5
United States,9/28/2020,7152546,205410,21608.727,,62.5
United States,9/29/2020,7195994,206243,21739.989,,62.5
United States,9/30/2020,7235428,207201,21859.124,,62.5
United States,10/1/2020,7281081,208074,21997.048,,62.5
United States,10/2/2020,7336043,208934,22163.095,,62.5
United States,10/3/2020,7384578,209617,22309.725,,62.5
United States,10/4/2020,7420293,209998,22417.624,,62.5
United States,10/5/2020,7459742,210479,22536.805,,62.5
United States,10/6/2020,7504998,211165,22673.529,,62.5
United States,10/7/2020,7556060,212092,22827.793,,62.5
United States,10/8/2020,7614653,213081,23004.81,,62.5
United States,10/9/2020,7671034,214049,23175.144,,62.5
United States,10/10/2020,7725952,214707,23341.058,,62.5
United States,10/11/2020,7771893,215178,23479.852,,62.5
United States,10/12/2020,7813735,215572,23606.261,,62.5
United States,10/13/2020,7865983,216368,23764.109,,66.2
United States,10/14/2020,7925748,217358,23944.667,,66.2
United States,10/15/2020,7990636,218207,24140.701,,66.2
United States,10/16/2020,8059782,219144,24349.6,,66.2
United States,10/17/2020,8116518,219906,24521.006,,66.2
United States,10/18/2020,8165858,220399,24670.069,,66.2
United States,10/19/2020,8233610,220878,24874.756,,66.2
United States,10/20/2020,8295581,221801,25061.978,,66.2
United States,10/21/2020,8358864,222922,25253.164,,66.2
United States,10/22/2020,8435164,223837,25483.675,,66.2
United States,10/23/2020,8517113,224804,25731.253,,66.2
United States,10/24/2020,8599842,225755,25981.188,,66.2
United States,10/25/2020,8661982,226217,26168.921,,66.2
United States,10/26/2020,8729385,226750,26372.553,,62.5
United States,10/27/2020,8806228,227723,26604.706,,62.5
United States,10/28/2020,8885632,228758,26844.595,,62.5
United States,10/29/2020,8976684,229762,27119.674,,62.5
United States,10/30/2020,9075924,230823,27419.491,,62.5
United States,10/31/2020,9165619,231733,27690.47,,62.5
United States,11/1/2020,9270467,232229,28007.229,,62.5
United States,11/2/2020,9355775,232801,28264.955,,62.5
United States,11/3/2020,9482891,234379,28648.988,,62.5
United States,11/4/2020,9587499,235494,28965.022,,62.5
United States,11/5/2020,9716853,236649,29355.817,,62.5
United States,11/6/2020,9844858,237888,29742.536,,62.5
United States,11/7/2020,9972308,238969,30127.578,,62.5
United States,11/8/2020,10087380,239540,30475.225,,62.5
United States,11/9/2020,10207953,240319,30839.491,,65.28
United States,11/10/2020,10348449,241737,31263.946,,65.28
United States,11/11/2020,10495075,243173,31706.922,,65.28
United States,11/12/2020,10659914,244377,32204.921,,65.28
United States,11/13/2020,10840303,245577,32749.898,,65.28
United States,11/14/2020,11008064,246924,33256.725,,65.28
United States,11/15/2020,11144288,247700,33668.275,,65.28
United States,11/16/2020,11307233,248529,34160.552,,75.46
United States,11/17/2020,11471155,250250,34655.78,,75.46
United States,11/18/2020,11644332,252168,35178.969,,75.46
United States,11/19/2020,11835880,254220,35757.66,,75.46
United States,11/20/2020,12034177,256177,36356.739,,75.46
United States,11/21/2020,12213451,257796,36898.348,,75.46
United States,11/22/2020,12360235,258828,37341.801,,75.46
United States,11/23/2020,12534684,259928,37868.833,,75.46
United States,11/24/2020,12710198,262057,38399.083,,75.46
United States,11/25/2020,12893485,264320,38952.815,,75.46
United States,11/26/2020,13005807,265705,39292.154,,75.46
United States,11/27/2020,13213995,267254,39921.116,,75.46
United States,11/28/2020,13369528,268614,40391,,75.46
United States,11/29/2020,13509762,269650,40814.665,,75.46
United States,11/30/2020,13670332,270996,41299.766,,75.46
United States,12/1/2020,13858551,273540,41868.399,,75.46
United States,12/2/2020,14061108,276352,42480.349,,71.76
United States,12/3/2020,14284721,279305,43155.912,,71.76
United States,12/4/2020,14517506,282004,43859.184,,71.76
United States,12/5/2020,14733048,284357,44510.363,,71.76
United States,12/6/2020,14914060,285703,45057.223,,71.76
United States,12/7/2020,15108918,287307,45645.913,,71.76
United States,12/8/2020,15333410,289926,46324.131,,71.76
United States,12/9/2020,15555949,293108,46996.449,,71.76
United States,12/10/2020,15787464,296103,47695.884,,71.76
United States,12/11/2020,16027441,299520,48420.885,,71.76
United States,12/12/2020,16245026,301979,49078.236,,71.76
United States,12/13/2020,16432729,303605,49645.31,,71.76
United States,12/14/2020,16627550,305255,50233.888,,71.76
United States,12/15/2020,16836556,308372,50865.321,,71.76
United States,12/16/2020,17083256,312036,51610.633,,71.76
United States,12/17/2020,17322981,315535,52334.872,,71.76
United States,12/18/2020,17574950,318500,53096.101,,71.76
United States,12/19/2020,17766856,321153,53675.873,,71.76
United States,12/20/2020,17954675,322867,54243.297,556208,71.76
United States,12/21/2020,18153724,324783,54844.649,614117,71.76
United States,12/22/2020,18351735,328182,55442.865,,71.76
United States,12/23/2020,18581353,331606,56136.569,1008025,71.76
United States,12/24/2020,18775557,334512,56723.284,,71.76
United States,12/25/2020,18873203,335937,57018.284,,71.76
United States,12/26/2020,19099491,337821,57701.928,1944585,71.76
United States,12/27/2020,19255126,339248,58172.121,,71.76
United States,12/28/2020,19429760,341251,58699.712,2127143,71.76
United States,12/29/2020,19630012,344882,59304.698,,71.76
United States,12/30/2020,19863696,348613,60010.686,2794588,71.76
United States,12/31/2020,20099363,352093,60722.665,,71.76
